????,day1,day2,day3,day4,day5,day6,?????,1,day1,day2,day3,day4,day5,day6,?????,,,,,,
,34.76666667,34.9,34.63333333,33.28333333,33.28333333,27.48333333,,40,35.12,35.8,36,34.3,34.8,28.5,,1.52,1.3,1.9,1.5,2,1
,34.7,34.96666667,34.7,33.2,33.2,27.38333333,,41,35.05,35.83,36.2,34.3,34.6,28.1,,1.45,1.23,2.1,1.5,1.8,0.6
,34.7,34.96666667,34.7,33.15,33.15,27.4,,42,35.05,35.83,36.2,34.2,34.5,28.2,,1.45,1.23,2.1,1.4,1.7,0.7
,34.7,34.9,34.7,33.11666667,33.11666667,27.28333333,,43,35.05,35.8,36,34.15,34.45,28.3,,1.45,1.3,1.8,1.4,1.7,0.8
,34.68333333,34.9,34.68333333,33.05,33.05,27.2,,44,35.03,35.69,36,34.11666667,34.41666667,28.6,,1.43,1.09,1.8,1.4,1.7,1.1
,34.6,34.9,34.63333333,33,33,27.11666667,,45,34.94,35.8,35.8,34.1,34.3,28.3,,1.34,1.3,1.6,1.4,1.6,0.8
,34.6,34.9,34.6,32.96666667,32.96666667,27.1,,46,34.93666667,35.8,35.9,34.18333333,34.28333333,28.2,,1.32,1.3,1.8,1.5,1.6,0.7
,34.51666667,34.9,34.6,33,33,27.1,,47,34.84666667,35.91,35.9,34.1,34.4,28.2,,1.18,1.51,1.8,1.5,1.8,0.7
,34.5,34.95,34.58333333,32.93333333,32.93333333,27.06666667,,48,34.82333333,36.02,35.9,34.13333333,34.33333333,28.23333333,,1.19,1.62,1.8,1.6,1.8,0.8
,34.5,35,34.6,32.9,32.9,27,,49,34.83,36.12,35.9,33.9,34.3,28.1,,1.23,1.72,1.8,1.4,1.8,0.7
,34.55,35,34.58333333,32.9,32.9,27.03333333,,50,34.88,36.12,35.9,33.9,34.3,28.41666667,,1.28,1.72,1.8,1.4,1.8,1.1
,34.51666667,35,34.5,32.9,32.9,27.01666667,,51,34.85,36.12,35.7,33.9,34.3,28.3,,1.25,1.72,1.6,1.4,1.8,1
,33.01666667,34.65,34.28333333,32.23333333,32.23333333,27.01666667,,52,33.01666667,34.23,33.63,31.92,31.91,26.76,,0.25,0.23,0.08,0.12,0.11,0.06
,33.15,34.7,34.21666667,32.25,32.25,26.98333333,,53,33.15,34.3,33.99333333,32,31.97,26.64,,0.45,0.3,0.31,0.2,0.17,-0.06
,33.25,34.68333333,34.2,32.3,32.3,27.05,,54,33.25,34.36,33.80666667,32.32,32.13,27.21,,0.55,0.3,0.19,0.52,0.33,0.51
,33.33333333,34.66666667,34.16666667,32.3,32.3,27.1,,55,33.33,34.39,33.69666667,32.17,32.34,27.31,,0.63,0.27,0.23,0.32,0.49,0.61
,33.38333333,34.7,34.23333333,32.31666667,32.31666667,27.1,,56,33.38,34.53,33.78666667,32.1,32.29,27.24,,0.68,0.38,0.27,0.2,0.39,0.54
,33.45,34.7,34.35,32.4,32.4,27.1,,57,33.45,34.45,34.03333333,32.42,32.56,27.52,,0.75,0.34,0.5,0.52,0.66,0.82
,33.53333333,34.7,34.26666667,32.4,32.4,27.1,,58,33.53,34.46,34.11,32.5,32.56,27.62,,0.83,0.38,0.61,0.6,0.66,0.92
,33.61666667,34.7,34.23333333,32.41666667,32.41666667,27.1,,59,33.61666667,34.36,34.14,32.78,32.62,27.6,,0.95,0.34,0.54,0.88,0.72,0.85
,33.78333333,34.71666667,34.2,32.43333333,32.43333333,27.1,,60,33.78666667,34.48,34.14333333,32.62,32.67,27.48,,1.17,0.38,0.61,0.72,0.77,0.68
,33.85,34.8,34.2,32.43333333,32.43333333,27.1,,61,33.85,34.66,34.21333333,32.7,32.83,27.99,,1.25,0.56,0.73,0.8,0.93,1.19
,33.96666667,34.8,34.15,32.4,32.4,27.1,,62,33.97,34.47666667,34.21666667,32.92,32.99,27.82,,1.37,0.41,0.65,0.92,0.99,1.02
,34.06666667,34.81666667,34.13333333,32.4,32.4,27.1,,63,34.06333333,34.73666667,34.53,32.84,32.99,27.99,,1.43,0.67,0.88,0.84,0.99,1.19
,34.1,34.8,34.11666667,32.41666667,32.41666667,27.08333333,,64,34.1,34.59666667,34.41333333,33.2,33.05,28.1,,1.45,0.63,0.88,1.2,1.05,1.3
,34.2,34.71666667,34.18333333,32.45,32.45,27.01666667,,65,34.2,34.55333333,34.70666667,33.04,33.16,27.88,,1.5,0.52,1.19,1.04,1.16,1.08
,34.28333333,34.7,34.15,32.4,32.4,27,,66,34.28666667,34.68333333,34.82333333,32.92666667,33.06666667,28.16,,1.57,0.6,1.19,0.96,1.1,1.36
,34.43333333,34.66666667,34.08333333,32.4,32.4,27,,67,34.33333333,34.46666667,34.88,33.24,33.32,28.23,,1.6,0.45,1.23,1.24,1.32,1.43
,34.4,34.6,34.08333333,32.4,32.4,27,,68,34.39666667,34.80666667,34.78666667,33.32,33.32,28.36,,1.63,0.74,1.07,1.32,1.32,1.46
,34.31666667,34.6,34.11666667,32.35,32.35,27,,69,34.42,34.74666667,34.66,33.1,33.59,28.09,,1.67,0.63,0.96,1,1.49,1.29
,34.23333333,34.6,34.16666667,32.3,32.3,27,,70,34.43,34.82,34.84,33.26333333,33.56333333,28.36,,1.63,0.67,1.19,1.08,1.38,1.46
,34.26666667,34.65,34.2,32.3,32.3,27,,71,34.47,34.8,35.00333333,33.32,33.52,28.59,,1.67,0.63,1.42,1.12,1.32,1.69
,34.3,34.7,34.2,32.3,32.3,27,,72,34.5,34.86,34.98,33.5,33.62,28.65,,1.7,0.67,1.38,1.2,1.32,1.75
,34.3,34.7,34.2,32.3,32.3,27,,73,34.6,34.91,34.85,33.30666667,33.69666667,28.84,,1.8,0.74,1.15,1.04,1.43,1.94
,34.3,34.7,34.21666667,32.33333333,32.33333333,27,,74,34.6,34.82,34.99666667,33.58666667,33.80666667,29.07,,1.8,0.63,1.38,1.32,1.54,2.07
,34.3,34.71666667,34.25,32.4,32.4,27.08333333,,75,34.6,34.93,35.00666667,33.71333333,33.77333333,29.14,,1.8,0.71,1.34,1.48,1.54,2.14
,34.23333333,34.7,34.28333333,32.43333333,32.43333333,27.1,,76,34.53,35.08,35.11,33.72,33.63,29.11,,1.73,0.85,1.46,1.52,1.43,2.11
,34.23333333,34.66666667,34.33333333,32.5,32.5,27.1,,77,34.53,35.1,35.16,33.6,33.85,29.04,,1.73,0.85,1.46,1.4,1.65,2.04
,34.3,34.68333333,34.4,32.5,32.5,27.1,,78,34.6,35.2,35.31,33.68,33.85,28.92,,1.8,0.96,1.61,1.48,1.65,1.92
,34.3,34.7,34.4,32.5,32.5,27.1,,79,34.6,35.28,35.38,33.67333333,33.77333333,28.7,,1.8,1,1.73,1.44,1.54,1.8
,34.3,34.66666667,34.5,32.5,32.5,27.1,,80,34.6,35.24333333,35.54,34.1,33.62,28.67666667,,1.8,0.96,1.84,1.8,1.32,1.71
,34.3,34.7,34.5,32.5,32.5,27.1,,81,34.59666667,35.32333333,35.54,33.98,33.62,28.67,,1.78,1.04,1.84,1.68,1.32,1.67
,34.3,34.66666667,34.5,32.5,32.5,27.1,,82,34.6,35.23,35.54,34.02,33.62,28.7,,1.7,0.93,1.84,1.72,1.32,1.7
,34.38333333,34.7,34.56666667,32.56666667,32.56666667,27.1,,83,34.68,35.32333333,35.69,33.98333333,33.65333333,28.64666667,,1.78,1.04,1.99,1.6,1.27,1.58
,34.4,34.76666667,34.6,32.6,32.6,27.1,,84,34.69666667,35.45,35.77,33.96,33.72,28.8,,1.73,1.15,2.07,1.56,1.32,1.7
,34.4,34.75,34.6,32.6,32.6,27.06666667,,85,34.7,35.41,35.77,34.2,33.72,29.04,,1.7,1.11,2.07,1.8,1.32,1.94
,34.3,34.75,34.6,32.7,32.7,27.01666667,,86,34.7,35.41,35.77,34.16,34.05,29.14,,1.65,1.11,2.07,1.76,1.65,2.04
,34.3,34.7,34.6,32.7,32.7,27.1,,87,34.7,35.3,35.77,34.28,34.05,29.17,,1.6,1,2.07,1.88,1.65,2.07
,34.21666667,34.75,34.6,32.7,32.7,27.13333333,,88,34.72,35.19,35.77,34.03666667,34.23666667,28.97,,1.62,0.89,2.07,1.72,1.92,1.87
,34.2,34.8,34.68333333,32.7,32.7,27.2,,89,34.7,35.41,35.85333333,33.9,34.28,28.8,,1.6,1.11,2.07,1.6,1.98,1.7
,34.16666667,34.8,34.61666667,32.7,32.7,27.23333333,,90,34.57,35.37333333,35.91,33.84666667,34.12666667,28.91,,1.47,1.04,2.11,1.48,1.76,1.81
,34.1,34.8,34.6,32.7,32.7,27.3,,91,34.5,35.47,35.76333333,34.16666667,34.12666667,29.14,,1.4,1.22,1.88,1.8,1.76,2.04
,34.1,34.88333333,34.6,32.78333333,32.78333333,27.2,,92,34.49666667,35.61333333,35.74,34.48,34.32,28.8,,1.38,1.33,1.84,2.08,1.92,1.7
,34.08333333,34.9,34.6,32.88333333,32.88333333,27.2,,93,34.68333333,35.62,35.74,34.44,34.44,28.8,,1.5,1.22,1.84,2.04,2.09,1.7
,34.1,34.88333333,34.6,32.88333333,32.88333333,27.21666667,,94,34.49666667,35.54333333,35.74,34.4,34.55,28.96,,1.28,1.11,1.84,2,2.25,1.76
,34.1,34.8,34.51666667,32.9,32.9,27.3,,95,34.6,35.30333333,35.55,34.2,34.61,29.24,,1.3,0.82,1.65,1.8,2.31,2.04
,34.1,34.83333333,34.5,32.9,32.9,27.3,,96,34.50333333,35.39666667,35.51,34.14,34.61,29.24,,1.17,0.93,1.61,1.64,2.31,2.04
,34.16666667,34.8,34.65,32.88333333,32.88333333,27.3,,97,34.57,35.37666667,35.86,34.3,34.55,29.24,,1.12,0.96,1.96,1.8,2.25,2.04
,34.2,34.7,34.7,32.88333333,32.88333333,27.3,,98,34.79666667,35.18,35.74,34.42,34.55,29.24,,1.23,0.78,1.84,1.92,2.25,2.04
,34.2,34.78333333,34.63333333,32.86666667,32.86666667,27.28333333,,99,34.8,35.40666667,35.72666667,34.77,34.5,29.18,,1.2,1.04,1.76,2.27,2.2,1.98
,34.2,34.8,34.61666667,32.8,32.8,27.2,,100,34.8,35.36333333,35.65,34.58,34.28,28.9,,1.2,0.93,1.65,2.08,1.98,1.7
,34.25,34.85,34.6,32.81666667,32.81666667,27.2,,101,34.85,35.42,35.78,34.57,34.34,28.79,,1.2,0.96,1.73,2.07,2.04,1.59
,35.28333333,35.7,34.63333333,34.25,34.25,28.3,,102,34.38333333,35,33.9,33.43666667,33.08666667,28.3,,0.15,0,-1.1,0.12,-0.23,0
,35.2,35.7,34.65,34.31666667,34.31666667,28.26666667,,103,34.24666667,35.15,34.15,33.78,33.36,28.17,,0.08,0.25,-0.75,0.48,0.06,-0.13
,35.21666667,35.63333333,34.7,34.3,34.3,28.23333333,,104,34.41333333,35.36,34.3,33.9,33.3,28.03,,0.28,0.46,-0.6,0.6,0,-0.27
,35.21666667,35.6,34.7,34.21666667,34.21666667,28.3,,105,34.52,35.63,34.3,33.73666667,33.21666667,28.3,,0.42,0.63,-0.6,0.52,0,0
,35.2,35.6,34.7,34.2,34.2,28.3,,106,34.45,35.67666667,34.5,33.76,33.2,28.3,,0.35,0.71,-0.3,0.56,0,0
,35.23333333,35.6,34.73333333,34.11666667,34.11666667,28.3,,107,34.58,35.65333333,34.6,33.8,33.3,28.6,,0.48,0.67,-0.2,0.6,0.1,0.4
,35.2,35.6,34.8,34.1,34.1,28.3,,108,34.75,35.72333333,34.8,33.82,33.38,28.6,,0.75,0.79,0,0.72,0.28,0.4
,35.1,35.53333333,34.8,34.1,34.1,28.3,,109,34.65,35.61,34.8,33.98,33.41,28.6,,0.75,0.71,0,0.88,0.31,0.4
,35.1,35.46666667,34.81666667,34.1,34.1,28.31666667,,110,34.65,35.44,34.85,33.8,33.35,28.67,,0.75,0.54,0.05,0.8,0.35,0.47
,35.13333333,35.38333333,34.9,34.08333333,34.08333333,28.4,,111,34.78,35.33333333,35.1,33.76,33.29,29,,0.88,0.5,0.3,0.76,0.29,0.8
,35.1,35.38333333,34.9,34,34,28.4,,112,34.65,35.48333333,34.9,33.64,33.42,29,,0.75,0.75,0,0.64,0.42,0.8
,35.05,35.35,34.9,34,34,28.4,,113,34.45,35.45,34.9,33.8,33.52,29,,0.55,0.75,0,0.8,0.52,0.8
,35.01666667,35.31666667,34.91666667,34,34,28.4,,114,34.32,35.34666667,34.95,33.92,33.6,29,,0.42,0.63,0.05,0.92,0.6,0.8
,35.1,35.23333333,35,34,34,28.36666667,,115,34.65,35.53,35.4,33.76,33.66,29.17,,0.75,0.83,0.6,0.76,0.66,1.07
,35.1,35.2,35.05,34.06666667,34.06666667,28.4,,116,34.59666667,35.65333333,35.55,34,33.74,29.3,,0.68,0.92,0.75,1,0.74,1.2
,35.11666667,35.21666667,35.01666667,34.01666667,34.01666667,28.38333333,,117,34.42,35.79666667,35.45,34.24,33.77,29.23,,0.42,1.13,0.65,1.24,0.77,1.13
,35.2,35.31666667,35,34.01666667,34.01666667,28.35,,118,34.75,35.83,35.4,34.3,33.67,29.1,,0.75,1.28,0.6,1.4,0.77,1
,35.28333333,35.35,35,34,34,28.4,,119,35.08,35.88,35.4,34.22,33.78,29.45,,1.08,1.33,0.6,1.32,0.88,1.4
,35.3,35.28333333,35,33.98333333,33.98333333,28.31666667,,120,35.15,35.78,35.5,34.06666667,33.78666667,29.27,,1.15,1.23,0.75,1.2,0.92,1.27
,35.23333333,35.3,35,33.9,33.9,28.3,,121,34.88,35.86666667,35.6,34.15666667,33.63666667,29.40333333,,0.88,1.4,0.9,1.44,0.92,1.47
,35.2,35.25,35,33.9,33.9,28.3,,122,34.75,35.88,35.7,34.35666667,33.88666667,29.5,,0.75,1.38,1.05,1.64,1.17,1.6
,35.2,35.2,35,33.86666667,33.86666667,28.21666667,,123,34.9,35.81666667,35.8,34.46333333,33.89333333,29.57,,0.95,1.35,1.2,1.68,1.11,1.67
,35.11666667,35.2,35,33.8,33.8,28.2,,124,34.66666667,35.94666667,35.8,34.50333333,33.99333333,29.55333333,,0.75,1.43,1.2,1.72,1.21,1.67
,35.1,35.15,35.03333333,33.8,33.8,28.16666667,,125,34.65,35.96333333,36.1,34.36666667,34.28666667,29.67,,0.75,1.53,1.6,1.6,1.52,1.87
,35.1,35.1,35.05,33.78333333,33.78333333,28.1,,126,34.65,36.11333333,36.35,34.26,34.35,29.8,,0.75,1.63,1.95,1.56,1.65,2
,35.1,35.1,35.01666667,33.8,33.8,28.1,,127,34.85333333,36.08333333,36.25,34.26,34.27,29.8,,1.02,1.6,1.85,1.56,1.57,2
,35.1,35.06666667,35.03333333,33.86666667,33.86666667,28.03333333,,128,34.95,36.1,36.3,34.18,34.45,29.73333333,,1.15,1.65,1.9,1.48,1.75,2
,35.08333333,35.05,35.06666667,33.91666667,33.91666667,27.9,,129,34.88,36.18333333,36.4,34.38,34.51,30.1,,1.08,1.7,2,1.68,1.81,2.4
,35.08333333,35,35,33.96666667,33.96666667,27.8,,130,34.88,36.23,36.2,34.5,34.68,29.7,,1.08,1.68,1.8,1.8,1.98,2
,35.1,35,35.01666667,33.9,33.9,27.8,,131,35.00333333,36.43,36.45,34.75666667,34.40666667,29.7,,1.22,1.93,2.15,2.04,1.69,2
,35.15,34.96666667,35,33.9,33.9,27.8,,132,35.01,36.27,36.4,34.63,34.32,29.64666667,,1.31,1.72,2.1,1.88,1.57,1.93
,35.1,34.93333333,34.9,33.9,33.9,27.81666667,,133,35.25,36.18,36.1,34.56,34.2,29.66333333,,1.55,1.63,1.8,1.76,1.4,1.93
,35.05,34.9,34.93333333,33.91666667,33.91666667,27.88333333,,134,35.05,36.20333333,36.4,34.36,34.26,30.03,,1.35,1.72,2.2,1.56,1.46,2.33
,35,34.81666667,34.9,33.96666667,33.96666667,27.83333333,,135,34.85,35.97,36.3,34.52,34.43,29.83,,1.15,1.47,2.1,1.72,1.63,2.13
,35,34.91666667,34.8,34,34,27.8,,136,34.85,36.22,36,34.64,34.55,29.79666667,,1.15,1.72,1.8,1.84,1.75,2.13
,35,34.9,34.75,33.96666667,33.96666667,27.76666667,,137,35,36.18,35.85,34.76,34.43,29.87,,1.35,1.68,1.65,1.96,1.63,2.27
,35,34.91666667,34.76666667,33.9,33.9,27.71666667,,138,35.15,36.22,35.9,34.84,34.2,29.86333333,,1.55,1.72,1.7,2.04,1.4,2.33
,35,34.96666667,34.76666667,33.9,33.9,27.71666667,,139,35.15,36.34,35.9,34.8,34.2,29.97,,1.55,1.84,1.7,2,1.4,2.47
,34.98333333,35,34.8,33.9,33.9,27.7,,140,35.08,36.43,36.2,34.72,34.2,29.9,,1.48,1.93,2.1,1.92,1.4,2.4
,35,35.01666667,34.8,33.9,33.9,27.7,,141,35.15,36.32,36.2,34.68,34.2,29.9,,1.55,1.72,2.1,1.88,1.4,2.4
,35,35.08333333,34.8,33.9,33.9,27.7,,142,35.15,36.48,36.2,34.8,34.2,29.9,,1.55,1.88,2.1,2,1.4,2.4
,34.96666667,35.13333333,34.8,33.81666667,33.81666667,27.7,,143,35.02,36.41,36,34.67,34.03,29.9,,1.42,1.91,1.8,1.92,1.28,2.4
,34.9,35.11666667,34.8,33.8,33.8,27.7,,144,34.75,36.22,36,34.51666667,34.05666667,29.9,,1.15,1.62,1.8,1.8,1.34,2.4
,34.86666667,35.08333333,34.81666667,33.8,33.8,27.7,,145,35.15,36.13,36.05,34.38,34.1,29.9,,1.55,1.63,1.85,1.68,1.4,2.4
,34.8,34.98333333,34.8,33.8,33.8,27.7,,146,35.09666667,35.88,36.2,34.44333333,34.14333333,29.9,,1.48,1.38,2.1,1.76,1.46,2.4
,34.85,35,34.8,33.8,33.8,27.8,,147,35.34666667,36.08,36.2,34.16,34.35,29.98,,1.68,1.68,2.1,1.56,1.75,2.48
,34.73333333,34.95,34.9,33.78333333,33.78333333,27.8,,148,35.05333333,35.95,36.5,34.17333333,34.45333333,29.66333333,,1.42,1.55,2.4,1.64,1.92,2.23
,34.56666667,34.91666667,34.9,33.81666667,33.81666667,27.83333333,,149,35.07,35.87,36.5,34.22,34.66,30.08,,1.47,1.47,2.4,1.72,2.16,2.68
