????,day1,day2,day3,day4,day5,day6,?????,1,day1,day2,day3,day4,day5,day6,?????,,,,,,
,33.8,34.18333333,33.6,31.8,31.8,26.5,,169,34.05,35.18666667,34.63,33.63,32.8,27.4,,1.3,1.07,0.93,1.53,0.7,0.6
,33.73333333,34.11666667,33.6,31.8,31.8,26.51666667,,170,33.87,35.02,34.75,33.62333333,32.71333333,28,,1.07,0.87,1.1,1.44,0.53,1.1
,33.7,34.1,33.6,31.8,31.8,26.55,,171,33.8,34.94,34.91333333,33.87,32.6,27.7,,1,0.77,1.33,1.67,0.4,0.8
,33.7,34.11666667,33.6,31.9,31.9,26.6,,172,33.8,35.06,34.87,33.97,32.7,28.05,,1,0.87,1.27,1.67,0.4,1.15
,33.75,34.1,33.66666667,31.9,31.9,26.6,,173,33.9,35.3,35.2,33.97666667,32.73666667,28.25,,1.1,1.13,1.5,1.71,0.47,1.35
,33.83333333,34.2,33.7,31.9,31.9,26.6,,174,34.07,35.52,35.16666667,33.75666667,32.93666667,28.2,,1.27,1.33,1.55,1.49,0.67,1.2
,33.9,34.2,33.75,31.9,31.9,26.6,,175,34.2,35.42,35.21666667,33.81333333,32.56333333,28.44,,1.4,1.2,1.55,1.58,0.33,1.44
,33.9,34.2,33.8,31.96666667,31.96666667,26.6,,176,34.2,35.36,35.43,33.69,32.8,28.5,,1.4,1.13,1.78,1.49,0.6,1.5
,33.9,34.2,33.88333333,32.05,32.05,26.6,,177,34.2,35.52,35.59,33.64,33,28.71,,1.4,1.27,1.89,1.44,0.8,1.71
,33.9,34.2,33.9,32.1,32.1,26.6,,178,34.2,35.44,35.65,33.51,33,28.75,,1.4,1.2,1.95,1.31,0.8,1.75
,33.9,34.25,33.96666667,32.15,32.15,26.6,,179,34.2,35.68,35.49,33.49333333,33.06333333,28.4,,1.4,1.4,1.84,1.26,0.83,1.5
,33.9,34.28333333,34,32.2,32.2,26.6,,180,34.2,35.88333333,35.65,33.52,33.1,28.26666667,,1.4,1.6,1.95,1.22,0.8,1.3
,33.9,34.3,34,32.2,32.2,26.63333333,,181,34.18666667,35.95333333,35.65,33.61,33.1,28.3,,1.37,1.67,1.95,1.31,0.8,1.3
,33.9,34.3,34,32.23333333,32.23333333,26.7,,182,34.1,35.9,35.65,33.7,33.17,28.5,,1.2,1.6,1.95,1.4,0.87,1.5
,33.9,34.3,34,32.3,32.3,26.7,,183,34.1,35.95333333,35.65,33.87333333,33.21333333,28.36666667,,1.2,1.67,1.95,1.49,0.83,1.3
,33.83333333,34.3,33.95,32.3,32.3,26.7,,184,34.37666667,35.9,35.48,33.98,33.2,28.3,,1.41,1.6,1.78,1.58,0.8,1.2
,33.75,34.3,33.9,32.3,32.3,26.7,,185,34.5,35.9,35.31,33.89,33.2,28.3,,1.5,1.6,1.61,1.49,0.8,1.2
,33.7,34.3,33.9,32.33333333,32.33333333,26.7,,186,34.35,35.9,35.31,33.89,33.27,28.3,,1.3,1.6,1.61,1.49,0.87,1.2
,33.7,34.3,33.91666667,32.38333333,32.38333333,26.7,,187,34.26,35.9,35.37,34.02,33.37,28.3,,1.16,1.6,1.67,1.62,0.97,1.2
,33.65,34.21666667,33.9,32.4,32.4,26.78333333,,188,34.32,35.17,35.31,34.20666667,33.48666667,28.55,,1.22,0.87,1.61,1.89,1.17,1.45
,33.7,34.2,33.93333333,32.4,32.4,26.8,,189,34.54,35.3,35.22333333,34.28,33.5,28.6,,1.44,1,1.44,1.98,1.2,1.5
,33.7,34.25,33.96666667,32.4,32.4,26.8,,190,34.66,35.40333333,35.3,34.39666667,33.43666667,28.6,,1.56,1.07,1.5,2.03,1.07,1.5
,33.68333333,34.25,34,32.48333333,32.48333333,26.8,,191,34.64,35.65,35.21333333,34.30666667,33.59666667,28.6,,1.54,1.4,1.33,1.94,1.23,1.5
,33.61666667,34.3,34,32.5,32.5,26.8,,192,34.58666667,35.75333333,35.17,34.34,33.6,28.6,,1.47,1.47,1.27,1.94,1.2,1.5
,33.6,34.3,34,32.5,32.5,26.8,,193,34.47333333,35.6,35.17,34.34,33.65,28.75,,1.29,1.2,1.27,1.94,1.3,1.65
,33.6,34.35,34.01666667,32.5,32.5,26.8,,194,34.40666667,35.70333333,35.23,34.43,33.7,28.85,,1.19,1.27,1.33,2.03,1.4,1.65
,33.66666667,34.36666667,34.1,32.5,32.5,26.9,,195,34.72,35.61333333,35.51,34.25,33.7,28.7,,1.42,1.13,1.61,1.85,1.4,1.5
,33.7,34.5,34.1,32.58333333,32.58333333,26.91666667,,196,34.60333333,36.19666667,35.51,34.3,33.87,28.82,,1.27,1.73,1.61,1.8,1.57,1.62
,33.7,34.5,34.16666667,32.63333333,32.63333333,26.96666667,,197,34.53,36.34666667,35.74,34.21,33.97,28.9,,1.08,1.93,1.84,1.71,1.67,1.7
,33.78333333,34.5,34.18333333,32.75,32.75,27,,198,34.37666667,36.4,35.79,34.17,34.1,29,,0.81,2,1.89,1.67,1.8,1.8
,33.8,34.55,34.13333333,32.8,32.8,27.06666667,,199,34.38,36.69666667,35.46666667,34.08,34,29.06,,0.78,2.33,1.5,1.58,1.7,1.86
,33.85,34.6,34.16666667,32.8,32.8,27.11666667,,200,34.5,36.70333333,35.5,34.17,34,29.09,,0.9,2.27,1.5,1.67,1.7,1.89
,33.9,34.6,34.2,32.9,32.9,27.2,,201,34.35,36.59,35.49,34.12,34.1,29.14,,0.7,2.13,1.44,1.62,1.8,1.94
,34.78333333,35.7,34.8,33.75,33.75,27.95,,202,34.33333333,34.9,34.9,33.41666667,33.41666667,28.5,,0.1,-0.1,-0.1,0.1,0.1,0.2
,34.86666667,35.7,34.71666667,33.8,33.8,27.98333333,,203,34.46666667,35,34.8,33.6,33.6,28.6,,0.3,0.1,-0.1,0.3,0.3,0.3
,34.88333333,35.68333333,34.6,33.73333333,33.73333333,27.95,,204,34.53333333,35.1,34.7,33.5,33.5,28.5,,0.4,0.2,-0.2,0.2,0.2,0.2
,34.85,35.66666667,34.6,33.7,33.7,27.83333333,,205,34.9,35.3,34.9,33.41666667,33.61666667,28.8,,0.8,0.3,0,0.2,0.4,0.5
,34.86666667,35.55,34.63333333,33.63333333,33.63333333,27.76666667,,206,34.8,35.26666667,34.9,33.7,33.8,28.7,,0.7,0.3,0.1,0.5,0.6,0.4
,34.81666667,35.5,34.7,33.48333333,33.48333333,27.9,,207,34.8,35.38333333,35.1,33.7,33.8,28.9,,0.7,0.4,0.3,0.5,0.6,0.7
,34.85,35.5,34.75,33.41666667,33.41666667,28,,208,34.8,35.33333333,35.2,33.6,33.7,29,,0.8,0.4,0.4,0.5,0.6,0.8
,34.93333333,35.48333333,34.8,33.4,33.4,28.1,,209,34.8,35.5,35.3,33.7,33.6,29,,0.9,0.6,0.5,0.6,0.5,0.8
,34.83333333,35.4,34.81666667,33.33333333,33.33333333,28.15,,210,35,35.7,35.3,33.6,33.6,29.2,,1.1,0.8,0.5,0.6,0.6,1
,34.75,35.26666667,34.8,33.28333333,33.28333333,28.1,,211,35,35.63333333,35.2,33.8,33.6,29.4,,1.1,0.8,0.4,0.8,0.6,1.2
,34.7,35.16666667,34.76666667,33.21666667,33.21666667,28.1,,212,35.1,35.53333333,35.5,33.7,33.5,29.4,,1.2,0.8,0.6,0.7,0.5,1.2
,34.71666667,35.2,34.73333333,33.15,33.15,28.08333333,,213,35.2,35.7,35.8,33.8,33.5,29.3,,1.3,1,0.9,0.8,0.5,1.1
,34.73333333,35.13333333,34.7,33.1,33.1,28.06666667,,214,35.2,35.61666667,35.7,33.7,33.6,29.3,,1.3,0.9,0.8,0.7,0.6,1.1
,34.7,35.1,34.7,33.1,33.1,28,,215,35.1,35.7,35.6,33.7,33.6,29.3,,1.2,1,0.8,0.7,0.6,1.2
,34.7,35.1,34.7,33.1,33.1,27.96666667,,216,35.01666667,35.63333333,35.7,33.9,33.7,29.4,,1.1,0.9,0.9,0.9,0.7,1.3
,34.7,35.08333333,34.7,33.1,33.1,27.93333333,,217,34.9,35.76666667,35.8,33.9,33.6,29.6,,0.9,1.1,1,0.9,0.6,1.5
,34.76666667,35.1,34.7,33.1,33.1,27.81666667,,218,35.1,35.75,36,33.7,33.7,29.6,,1.1,1.2,1.2,0.8,0.8,1.5
,34.8,35.08333333,34.7,33.1,33.1,27.8,,219,35.2,35.65,35.9,33.7,33.6,29.35,,1.2,1.1,1.1,0.8,0.7,1.3
,34.81666667,35.1,34.78333333,33.1,33.1,27.8,,220,35.3,35.75,35.85,33.66666667,33.66666667,29.2,,1.3,1.2,1.1,0.8,0.8,1.2
,34.8,35.1,34.81666667,33.1,33.1,27.8,,221,35.2,35.66666667,35.5,33.61666667,33.61666667,29.43333333,,1.2,1.2,0.8,0.9,0.9,1.5
,34.78333333,35.1,34.91666667,33.13333333,33.13333333,27.78333333,,222,35.1,35.8,35.75,33.71666667,33.71666667,29.4,,1.1,1.3,1.1,1,1,1.5
,34.71666667,35.06666667,35,33.18333333,33.18333333,27.75,,223,35.05,35.76666667,36,33.78333333,33.78333333,29.3,,1.1,1.3,1.4,1,1,1.4
,34.78333333,35,35,33.21666667,33.21666667,27.7,,224,35.31666667,35.71666667,36,33.78333333,33.88333333,29.18333333,,1.4,1.2,1.4,1,1.1,1.3
,34.8,34.85,35,33.28333333,33.28333333,27.7,,225,35.1,35.53333333,36.2,33.56666667,34.06666667,29.4,,1.2,1.1,1.7,0.8,1.3,1.6
,34.8,34.9,35,33.3,33.3,27.7,,226,35.1,35.58333333,36.3,33.5,34.3,29.4,,1.2,1.1,1.9,0.8,1.6,1.6
,34.8,34.9,35,33.3,33.3,27.7,,227,35.23333333,35.58333333,36.3,33.6,34.3,29.4,,1.4,1.1,1.9,0.9,1.6,1.6
,34.76666667,34.86666667,35.01666667,33.3,33.3,27.7,,228,35.2,35.55,36.3,33.5,34.3,29.23333333,,1.4,1.1,1.9,0.8,1.6,1.5
,34.7,34.8,35.03333333,33.3,33.3,27.7,,229,35,35.58333333,36.4,33.4,34.3,29.3,,1.2,1.1,2,0.7,1.6,1.6
,34.7,34.76666667,35.1,33.3,33.3,27.7,,230,35,35.65,36.5,33.4,34.3,29.3,,1.2,1.1,2.1,0.7,1.6,1.6
,34.7,34.7,35.1,33.3,33.3,27.7,,231,35.08333333,35.5,36.6,33.51666667,34.21666667,29.3,,1.3,1,2.3,0.8,1.5,1.6
,34.66666667,34.7,35.08333333,33.31666667,33.31666667,27.7,,232,35.1,35.45,36.6,33.45,34.25,29.21666667,,1.4,0.9,2.3,0.7,1.5,1.5
,34.66666667,34.7,35.1,33.3,33.3,27.7,,233,35.1,35.45,36.6,33.5,34.1,29.23333333,,1.4,0.9,2.3,0.7,1.3,1.5
,34.7,34.68333333,35.1,33.26666667,33.26666667,27.7,,234,35.2,35.48333333,36.8,33.7,34,29.3,,1.5,1,2.6,0.9,1.2,1.6
,34.73333333,34.7,35.06666667,33.26666667,33.26666667,27.66666667,,235,35.3,35.5,36.7,33.8,34,29.2,,1.6,1,2.5,1,1.2,1.5
,34.75,34.71666667,35.05,33.3,33.3,27.6,,236,35.3,35.6,36.7,34,34.1,28.96666667,,1.6,1.1,2.5,1.2,1.3,1.3
,34.8,34.8,35.13333333,33.3,33.3,27.6,,237,35.25,35.8,36.8,34,34.1,29.2,,1.6,1.3,2.6,1.2,1.3,1.6
,34.8,34.85,35.08333333,33.26666667,33.26666667,27.6,,238,35.4,36,36.7,34.1,34,29.43333333,,1.8,1.5,2.5,1.3,1.2,1.9
,34.71666667,34.81666667,35,33.3,33.3,27.6,,239,35.4,35.9,36.5,34.1,34.1,29.5,,1.8,1.4,2.3,1.3,1.3,2
,34.6,34.8,34.98333333,33.3,33.3,27.6,,240,35.1,35.8,36.6,34,34.1,29.5,,1.5,1.3,2.5,1.2,1.3,2
,34.55,34.75,34.98333333,33.23333333,33.23333333,27.6,,241,35.3,35.9,36.6,34,33.9,29.5,,1.7,1.3,2.5,1.2,1.1,2
,34.43333333,34.66666667,35.01666667,33.2,33.2,27.55,,242,35.4,35.7,36.7,34,33.8,29.3,,1.8,1.1,2.6,1.2,1,1.8
,34.4,34.65,35,33.2,33.2,27.51666667,,243,35.3,36,36.5,33.95,33.95,29.2,,1.7,1.5,2.3,1.2,1.2,1.7
,34.4,34.6,35,33.1,33.1,27.5,,244,35.4,35.8,36.5,33.81666667,33.61666667,29.1,,1.8,1.2,2.3,1.1,0.9,1.6
,34.38333333,34.6,34.9,33.1,33.1,27.53333333,,245,35.5,35.5,36.3,33.7,33.7,29.2,,1.9,1,2.1,1,1,1.7
,34.4,34.63333333,34.9,33.1,33.1,27.5,,246,35.21666667,35.5,36.4,33.68333333,33.78333333,29.1,,1.6,1,2.3,1,1.1,1.6
,34.43333333,34.8,34.9,33.1,33.1,27.58333333,,247,35.26666667,36,36.4,33.7,33.9,29.4,,1.6,1.6,2.3,1.1,1.3,1.9
,34.48333333,34.8,34.88333333,33.1,33.1,27.6,,248,35.23333333,36,36.4,33.53333333,34.03333333,29.33333333,,1.6,1.6,2.3,1,1.5,1.9
,34.33333333,34.63333333,34.9,33.15,33.15,27.6,,249,35.5,35.5,36.4,33.6,34.3,29.4,,1.9,1.1,2.3,1.1,1.8,2
,34.28333333,34.65,34.83333333,33.13333333,33.13333333,27.6,,250,35.5,35.5,36.3,33.4,34.2,29.11666667,,1.9,1.1,2.2,0.9,1.7,1.8
,34.2,34.68333333,34.8,33.1,33.1,27.6,,251,35.4,35.6,36.2,33.5,34.1,29.4,,1.8,1.2,2.1,1,1.6,2.1
,33.16666667,33.91666667,33.91666667,31.41666667,31.41666667,26.55,,252,32.56666667,34.06,33.69,31.87,31.89,26.93,,-0.2,0.06,0.14,0.07,0.09,0.23
,33.2,33.91666667,33.9,31.4,31.4,26.51666667,,253,32.7,34,34.00333333,31.81,32.01,27.15,,0,0,0.32,0.01,0.21,0.45
,33.2,34,33.81666667,31.4,31.4,26.45,,254,32.7,34.23,33.84666667,32.03,32.07,27.15,,0,0.17,0.23,0.23,0.27,0.45
,33.25,34.1,33.7,31.43333333,31.43333333,26.4,,255,32.8,34.52,33.64666667,32.08,32.01,26.7,,0.1,0.4,0.18,0.23,0.16,0
,33.36666667,34.15,33.7,31.5,31.5,26.4,,256,33.03,34.38,33.83666667,32.24,32.27,27.02,,0.33,0.23,0.32,0.34,0.37,0.32
,33.5,34.15,33.66666667,31.5,31.5,26.35,,257,33.3,34.41,34.25333333,32.35,32.48,27.24,,0.6,0.3,0.72,0.45,0.58,0.54
,33.51666667,34.18333333,33.58333333,31.55,31.55,26.3,,258,33.33,34.51,34.13,32.19,32.64,27.51,,0.63,0.43,0.63,0.29,0.74,0.81
,33.65,34.05,33.83333333,31.6,31.6,26.3,,259,33.42666667,34.71,34.32,32.24,32.54,27.88,,0.76,0.69,0.72,0.34,0.64,1.13
,33.7,34.08333333,34.21666667,31.6,31.6,26.21666667,,260,33.23666667,35.03,34.39333333,32.63,32.64,27.79,,0.62,0.93,0.86,0.73,0.74,0.99
,33.7,34.03333333,34.2,31.6,31.6,26.2,,261,33.44,34.87,34.43333333,32.57,32.85,27.7,,0.84,0.77,0.95,0.67,0.95,0.9
,33.7,34,34.2,31.6,31.6,26.2,,262,33.56,34.83666667,34.73666667,32.78,32.9,27.93,,0.96,0.77,1.17,0.78,0.9,1.13
,33.7,34.08333333,34.2,31.6,31.6,26.26666667,,263,33.73333333,35.10666667,34.87,32.73,33.01,28,,1.1,1.04,1.22,0.73,1.01,1.2
,33.7,34.1,34.2,31.58333333,31.58333333,26.26666667,,264,33.75,35.06666667,34.84333333,32.84,32.85,28,,1.1,1.1,1.31,0.84,0.85,1.2
,33.7,34.1,34.05,31.56666667,31.56666667,26.3,,265,33.7,34.91333333,34.73666667,32.95,32.95,28.11,,1,0.88,1.22,0.95,0.95,1.31
,33.7,34.11666667,33.91666667,31.58333333,31.58333333,26.3,,266,33.77666667,34.87333333,34.91333333,33.02666667,32.97666667,28.2,,1.06,0.79,1.28,1.06,1.01,1.4
,33.7,34.1,33.78333333,31.61666667,31.61666667,26.3,,267,33.87333333,34.87666667,34.69,33,33.11,28.29,,1.14,0.86,1.04,1,1.11,1.49
,33.65,34.1,33.71666667,31.7,31.7,26.3,,268,34.10666667,34.85666667,34.66666667,33.17,33.01,28.34,,1.34,0.79,0.95,1.17,1.01,1.44
,33.6,34.1,33.7,31.7,31.7,26.3,,269,34.17,34.94666667,34.65,33.27,33.27,28.15,,1.42,0.83,0.95,1.17,1.17,1.35
,33.65,34.1,33.7,31.75,31.75,26.3,,270,34.38,34.88,34.78,33.57333333,33.61333333,28.25,,1.58,0.73,1.13,1.39,1.43,1.35
,33.61666667,34.1,33.7,31.8,31.8,26.35,,271,34.42,34.8,34.62333333,33.53,33.58,28.12,,1.62,0.63,1.04,1.33,1.38,1.22
,33.6,34.1,33.7,31.8,31.8,26.4,,272,34.34,34.85,34.55,33.58,33.57,28.17,,1.54,0.66,0.95,1.28,1.27,1.27
,33.6,34.11666667,33.75,31.81666667,31.81666667,26.4,,273,34.28,34.83,34.56,33.65666667,33.64666667,28.25,,1.48,0.66,0.86,1.39,1.38,1.35
,33.66666667,34.1,33.8,31.81666667,31.81666667,26.4,,274,34.44,34.88,34.43666667,33.54666667,33.48666667,28.35,,1.64,0.69,0.82,1.28,1.22,1.35
,33.7,34.1,33.8,31.81666667,31.81666667,26.4,,275,34.6,34.85,34.26666667,33.62333333,33.45333333,28.35,,1.8,0.63,0.6,1.39,1.22,1.35
,33.73333333,34.13333333,33.85,31.9,31.9,26.45,,276,34.5,34.94,34.55,33.53,33.53,28.58,,1.7,0.71,0.9,1.33,1.33,1.58
,33.78333333,34.2,33.88333333,31.98333333,31.98333333,26.5,,277,34.46,35.3,34.52,33.53,33.37,28.58,,1.66,1.05,0.82,1.33,1.17,1.58
,33.81666667,34.18333333,33.9,32,32,26.5,,278,34.6,35.17,34.6,33.48,33.63,28.53,,1.8,0.93,0.9,1.28,1.43,1.53
,33.8,34.18333333,33.9,32,32,26.5,,279,34.48,35.21,34.78,33.45333333,33.77333333,28.3,,1.68,0.93,1.13,1.22,1.54,1.4
,33.8,34.2,33.95,32.03333333,32.03333333,26.5,,280,34.56,35.33333333,34.83,33.63,33.57,28.27666667,,1.76,1.05,1.13,1.33,1.27,1.31
,33.8,34.2,34,32.08333333,32.08333333,26.5,,281,34.65666667,35.33333333,35.05,33.52,33.52,28.44,,1.84,1.05,1.35,1.22,1.22,1.44
,33.8,34.2,34,32.06666667,32.06666667,26.5,,282,34.64,35.29,35.05,33.47,33.41,28.53,,1.74,0.99,1.35,1.17,1.11,1.53
,33.78333333,34.28333333,34,32.1,32.1,26.48333333,,283,34.87,35.60333333,35.05,33.77333333,33.44333333,28.64666667,,1.97,1.32,1.35,1.39,1.06,1.58
,33.76666667,34.21666667,34,32.08333333,32.08333333,26.5,,284,34.76666667,35.35,35.05,33.9,33.41,28.77,,1.8,1.05,1.35,1.5,1.01,1.67
,33.7,34.25,34,32.1,32.1,26.5,,285,34.8,35.45,35.05,33.79,33.51,28.68,,1.8,1.15,1.35,1.39,1.11,1.58
,33.61666667,34.21666667,34,32.15,32.15,26.51666667,,286,34.58,35.35,35.05,33.95,33.62,28.59,,1.53,1.05,1.35,1.55,1.22,1.49
,33.6,34.21666667,33.95,32.25,32.25,26.58333333,,287,34.7,35.35,34.83,33.84,33.73,28.41,,1.6,1.05,1.13,1.44,1.33,1.31
,33.55,34.2,33.9,32.3,32.3,26.6,,288,34.6,34.96,34.6,33.81666667,33.69666667,28.54,,1.5,0.66,0.9,1.5,1.38,1.44
,33.5,34.2,33.9,32.28333333,32.28333333,26.63333333,,289,34.5,35.13,34.59333333,33.74,33.78,28.63,,1.4,0.83,0.81,1.44,1.48,1.53
,33.5,34.2,33.95,32.31666667,32.31666667,26.7,,290,34.5,35.05333333,34.75,33.64666667,33.95666667,28.77,,1.4,0.72,0.95,1.28,1.59,1.67
,33.5,34.2,33.98333333,32.38333333,32.38333333,26.76666667,,291,34.5,35.24,34.78333333,33.58666667,33.69666667,29.08,,1.4,0.99,0.9,1.22,1.33,1.98
,33.53333333,34.2,34.03333333,32.4,32.4,26.78333333,,292,34.54666667,35.16333333,34.67,33.79,33.57,28.99,,1.43,0.88,0.77,1.39,1.17,1.89
,33.6,34.18333333,34.11666667,32.46666667,32.46666667,26.85,,293,34.61333333,35.17,34.88,33.73,33.89,28.9,,1.43,0.77,0.98,1.33,1.54,1.8
,33.6,34.18333333,34.18333333,32.5,32.5,26.88333333,,294,34.58666667,35.09333333,35.17,33.84,34.05,28.92,,1.37,0.66,1.27,1.44,1.75,1.72
,33.6,34.1,34.25,32.5,32.5,26.9,,295,34.7,35.14333333,35.48,33.9,34.05,29,,1.4,0.66,1.58,1.5,1.75,1.8
,33.6,34.18333333,34.28333333,32.5,32.5,26.9,,296,34.66333333,35.01666667,35.62,33.72,34,29,,1.33,0.55,1.72,1.22,1.7,1.8
,33.6,34.2,34.3,32.55,32.55,26.9,,297,34.55,35.18666667,35.7,33.67,34.16,29,,1.1,0.77,1.8,1.17,1.86,1.8
,33.6,34.2,34.31666667,32.6,32.6,26.9,,298,34.63666667,35.23,35.78,33.72,34.26,29,,1.07,0.83,1.88,1.22,1.96,1.8
,33.66666667,34.2,34.38333333,32.6,32.6,26.9,,299,34.73,35.29666667,35.83666667,33.83,34.26,29,,1.13,0.93,1.87,1.33,1.96,1.8
,33.68333333,34.2,34.3,32.6,32.6,26.95,,300,34.77,35.15333333,35.35,33.72,34.21,29.22,,1.17,0.72,1.35,1.22,1.91,2.02
,33.7,34.18333333,34.3,32.6,32.6,27,,301,34.75,35.01,35.18,33.67,34.26,29.3,,1.1,0.55,1.13,1.17,1.96,2.1
,34.23333333,35,35,33.31666667,33.31666667,28.3,,302,34.23333333,35,35,33.31666667,33.31666667,28.3,,,,,,,
,34.16666667,34.9,34.9,33.3,33.3,28.3,,303,34.16666667,34.9,34.9,33.3,33.3,28.3,,,,,,,
,34.13333333,34.9,34.9,33.3,33.3,28.3,,304,34.13333333,34.9,34.9,33.3,33.3,28.3,,,,,,,
,34.1,35,34.9,33.21666667,33.21666667,28.3,,305,34.1,35,34.9,33.21666667,33.21666667,28.3,,,,,,,
,34.1,34.96666667,34.8,33.2,33.2,28.3,,306,34.1,34.96666667,34.8,33.2,33.2,28.3,,,,,,,
,34.1,34.98333333,34.8,33.2,33.2,28.2,,307,34.1,34.98333333,34.8,33.2,33.2,28.2,,,,,,,
,34,34.93333333,34.8,33.1,33.1,28.2,,308,34,34.93333333,34.8,33.1,33.1,28.2,,,,,,,
,33.9,34.9,34.8,33.1,33.1,28.2,,309,33.9,34.9,34.8,33.1,33.1,28.2,,,,,,,
,33.9,34.9,34.8,33,33,28.2,,310,33.9,34.9,34.8,33,33,28.2,,,,,,,
,33.9,34.83333333,34.8,33,33,28.2,,311,33.9,34.83333333,34.8,33,33,28.2,,,,,,,
,33.9,34.73333333,34.9,33,33,28.2,,312,33.9,34.73333333,34.9,33,33,28.2,,,,,,,
,33.9,34.7,34.9,33,33,28.2,,313,33.9,34.7,34.9,33,33,28.2,,,,,,,
,33.9,34.71666667,34.9,33,33,28.2,,314,33.9,34.71666667,34.9,33,33,28.2,,,,,,,
,33.9,34.7,34.8,33,33,28.1,,315,33.9,34.7,34.8,33,33,28.1,,,,,,,
,33.91666667,34.73333333,34.8,33,33,28.1,,316,33.91666667,34.73333333,34.8,33,33,28.1,,,,,,,
,34,34.66666667,34.8,33,33,28.1,,317,34,34.66666667,34.8,33,33,28.1,,,,,,,
,34,34.55,34.8,32.9,32.9,28.1,,318,34,34.55,34.8,32.9,32.9,28.1,,,,,,,
,34,34.55,34.8,32.9,32.9,28.05,,319,34,34.55,34.8,32.9,32.9,28.05,,,,,,,
,34,34.55,34.75,32.86666667,32.86666667,28,,320,34,34.55,34.75,32.86666667,32.86666667,28,,,,,,,
,34,34.46666667,34.7,32.71666667,32.71666667,27.93333333,,321,34,34.46666667,34.7,32.71666667,32.71666667,27.93333333,,,,,,,
,34,34.5,34.65,32.71666667,32.71666667,27.9,,322,34,34.5,34.65,32.71666667,32.71666667,27.9,,,,,,,
,33.95,34.46666667,34.6,32.78333333,32.78333333,27.9,,323,33.95,34.46666667,34.6,32.78333333,32.78333333,27.9,,,,,,,
,33.91666667,34.51666667,34.6,32.78333333,32.78333333,27.88333333,,324,33.91666667,34.51666667,34.6,32.78333333,32.78333333,27.88333333,,,,,,,
,33.9,34.43333333,34.5,32.76666667,32.76666667,27.8,,325,33.9,34.43333333,34.5,32.76666667,32.76666667,27.8,,,,,,,
,33.9,34.48333333,34.4,32.7,32.7,27.8,,326,33.9,34.48333333,34.4,32.7,32.7,27.8,,,,,,,
,33.83333333,34.48333333,34.4,32.7,32.7,27.8,,327,33.83333333,34.48333333,34.4,32.7,32.7,27.8,,,,,,,
,33.8,34.45,34.4,32.7,32.7,27.73333333,,328,33.8,34.45,34.4,32.7,32.7,27.73333333,,,,,,,
,33.8,34.48333333,34.4,32.7,32.7,27.7,,329,33.8,34.48333333,34.4,32.7,32.7,27.7,,,,,,,
,33.8,34.55,34.4,32.7,32.7,27.7,,330,33.8,34.55,34.4,32.7,32.7,27.7,,,,,,,
,33.78333333,34.5,34.3,32.71666667,32.71666667,27.7,,331,33.78333333,34.5,34.3,32.71666667,32.71666667,27.7,,,,,,,
,33.7,34.55,34.3,32.75,32.75,27.71666667,,332,33.7,34.55,34.3,32.75,32.75,27.71666667,,,,,,,
,33.7,34.55,34.3,32.8,32.8,27.73333333,,333,33.7,34.55,34.3,32.8,32.8,27.73333333,,,,,,,
,33.7,34.48333333,34.2,32.8,32.8,27.7,,334,33.7,34.48333333,34.2,32.8,32.8,27.7,,,,,,,
,33.7,34.5,34.2,32.8,32.8,27.7,,335,33.7,34.5,34.2,32.8,32.8,27.7,,,,,,,
,33.7,34.5,34.2,32.8,32.8,27.66666667,,336,33.7,34.5,34.2,32.8,32.8,27.66666667,,,,,,,
,33.65,34.5,34.2,32.8,32.8,27.6,,337,33.65,34.5,34.2,32.8,32.8,27.6,,,,,,,
,33.6,34.5,34.2,32.8,32.8,27.53333333,,338,33.6,34.5,34.2,32.8,32.8,27.53333333,,,,,,,
,33.6,34.5,34.2,32.8,32.8,27.5,,339,33.6,34.5,34.2,32.8,32.8,27.5,,,,,,,
,33.6,34.5,34.1,32.8,32.8,27.5,,340,33.6,34.5,34.1,32.8,32.8,27.5,,,,,,,
,33.6,34.6,34.1,32.8,32.8,27.5,,341,33.6,34.6,34.1,32.8,32.8,27.5,,,,,,,
,33.6,34.6,34.1,32.8,32.8,27.5,,342,33.6,34.6,34.1,32.8,32.8,27.5,,,,,,,
,33.6,34.5,34.2,32.75,32.75,27.5,,343,33.6,34.5,34.2,32.75,32.75,27.5,,,,,,,
,33.6,34.6,34.2,32.71666667,32.71666667,27.5,,344,33.6,34.6,34.2,32.71666667,32.71666667,27.5,,,,,,,
,33.6,34.5,34.2,32.7,32.7,27.5,,345,33.6,34.5,34.2,32.7,32.7,27.5,,,,,,,
,33.61666667,34.5,34.1,32.68333333,32.68333333,27.5,,346,33.61666667,34.5,34.1,32.68333333,32.68333333,27.5,,,,,,,
,33.66666667,34.4,34.1,32.6,32.6,27.5,,347,33.66666667,34.4,34.1,32.6,32.6,27.5,,,,,,,
,33.63333333,34.4,34.1,32.53333333,32.53333333,27.43333333,,348,33.63333333,34.4,34.1,32.53333333,32.53333333,27.43333333,,,,,,,
,33.6,34.4,34.1,32.5,32.5,27.4,,349,33.6,34.4,34.1,32.5,32.5,27.4,,,,,,,
,33.6,34.4,34.1,32.5,32.5,27.31666667,,350,33.6,34.4,34.1,32.5,32.5,27.31666667,,,,,,,
